School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1,Data As Of,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
WILLIAM E. GRADY VOC HS - K,K,21,FY16 RESO A CULINARY ARTS ROOM,1692000,CIP,K620,25 BRIGHTON 4TH ROAD,Brooklyn,11235,BROOKLYN,40.582585,-73.963477,313,48,3196378,3072610201,366,BK1303,"(40.582585, -73.963477)",18-Jan,13826,21,2,15,35
I.S. 61 - QUEENS,Q,24,MASONRY/ROOFS/PARAPETS,5890000,CIP,Q061,98-50 50 AVENUE,Queens,11368,QUEENS,40.742668,-73.863307,404,21,4046834,4018910032,44302,QN0402,"(40.742668, -73.863307)",18-Jan,14510,66,3,21,68
P.S. 42 - QUEENS,Q,27,SANDY:INT/HEATING/FLOOD/CLIMATE/PIPING/HVAC/ELEC,15125767,CIP,Q042,488 BEACH 66 STREET,Queens,11692,QUEENS,40.594538,-73.795304,414,31,4302817,4160390014,964,QN1402,"(40.594538, -73.795304)",18-Jan,20530,51,3,47,58
I.S. 419 - QUEENS,Q,24,Demo,6224000,CAP,Q419,111-10 ASTORIA BOULEVARD,Queens,11369,QUEENS,40.7599,-73.859218,403,21,4000000,4017050001,373,QN0302,"(40.7599, -73.859218)",18-Jan,14511,65,3,21,73
P.S. 321 - BROOKLYN,K,15,FULL PROGRAM ACCESSIBILITY/FIRE ALARM,5581000,CIP,K321,180 7TH AVENUE,Brooklyn,11215,BROOKLYN,40.67146,-73.977783,306,39,3337516,3009710028,155,BK0602,"(40.67146, -73.977783)",18-Jan,17617,14,2,27,50
PERFORMING ARTS AND TECH. HS -,K,19,FY14 RESO A GYMNASIUM UPGRADE,1032000,CIP,K435,400 PENNSYLVANIA AVENUE,Brooklyn,11207,BROOKLYN,40.667456,-73.894747,305,42,3084440,3037880001,1156,BK0502,"(40.667456, -73.894747)",18-Jan,17214,45,2,25,47
P.S. 236 - BROOKLYN,K,22,EXT MASONRY/ROOFS/PARAPETS/FLOOD/TCU/IRON FENCE,16321000,CIP,K236,6302 AVENUE U,Brooklyn,11234,BROOKLYN,40.615998,-73.912989,318,46,3326821,3084640001,698,BK1802,"(40.615998, -73.912989)",18-Jan,13825,5,2,8,38
P.S. 219 - BROOKLYN,K,18,WATER INFILTRATION/ROOFS/EXT MASONRY/PARAPETS,18388000,CIP,K219,1060 CLARKSON AVENUE,Brooklyn,11212,BROOKLYN,40.659288,-73.922919,317,41,3101168,3046480001,886,BK1704,"(40.659288, -73.922919)",18-Jan,17614,61,2,17,40
RICHMOND HILL HS - QUEENS,Q,27,STEEL DETERIORATED COLUMS & COLUMN,1064400,CIP,Q475,89-30 114 STREET,Queens,11418,QUEENS,40.695888,-73.833681,409,29,4195688,4093210001,124,QN0902,"(40.695888, -73.833681)",18-Jan,24014,46,3,46,60
HS OF BUSINESS - BRONX,X,9,ATHLETIC FIELD RETAINING WALL,1220000,CIP,X410,240 EAST 172 STREET,Bronx,10457,BRONX,40.840422,-73.91091,204,16,2007806,2028170002,225,BX0403,"(40.840422, -73.91091)",18-Jan,10935,50,5,42,27
